marka,seri,model,kasa_tipi
BMW,5 Serisi,525d xDrive xDrive,Sedan
Fiat,Egea,1.4 Fire Urban Plus,Hatchback/5
Ford,Focus,1.5 TDCi Trend X,Station wagon
Ford,Focus,1.6 TDCi Titanium,Hatchback/5
Hyundai,i20,1.4 MPI Jump,Hatchback/5
Kia,Cerato,1.5 CRDi EX,Sedan
Opel,Astra,1.6 CDTI Business,Sedan
Porsche,Taycan,4S Performance Plus,Coupe
Renault,Fluence,1.5 dCi Joy,Sedan
Seat,Ibiza,1.0 EcoTSI FR,Hatchback/5
Volkswagen,Jetta,1.2 TSi BlueMotion Trendline,Sedan
Volkswagen,Polo,1.0 TSi Comfortline,Hatchback/5
Audi,A4,A4 Allroad Quattro 2.0 TDI,Station wagon
Audi,A4,A4 Sedan 1.4 TFSI,Sedan
Audi,A5,A5 Sportback 1.4 TFSI,Hatchback/5
Citroen,C4 X,1.2 PureTech Max,SUV
Citroen,C5,1.6 e-HDi Confort,Sedan
Ford,Focus,1.6 TDCi Ghia,Hatchback/5
Opel,Astra,1.3 CDTI ecoFLEX Sport,Hatchback/5
Volkswagen,Golf,1.6 TDi Trendline,Hatchback/5
Volkswagen,Polo,1.2 TSi Allstar,Hatchback/5
BMW,3 Serisi,318i Edition M Sport,Sedan
BMW,3 Serisi,320i First Edition M Sport,Sedan
BMW,7 Serisi,730i Long Executive Lounge,Sedan
Dacia,Sandero,0.9 TCe Stepway,Hatchback/5
Honda,City,1.5 i-VTEC Executive,Sedan
Hyundai,Elantra,1.6 CRDi Elite,Sedan
Mini,Cooper,1.5 D Chili,Hatchback/3
Renault,Clio,1.5 dCi Icon,Hatchback/5
Renault,Megane,1.3 TCe Icon,Sedan
Volkswagen,VW CC,1.4 TSi,Coupe
Chevrolet,Aveo,1.3 D LTZ,Sedan
Chevrolet,Cruze,1.6 Design Edition,Sedan
Fiat,Egea,1.4 Fire Mirror,Sedan
Hyundai,i20,1.0 T-GDI Elite,Hatchback/5
BMW,3 Serisi,320i Premium,Sedan
BMW,5 Serisi,520d Exclusive,Sedan
BMW,7 Serisi,740e xDrive Long Pure Excellence,Sedan
Fiat,Egea,1.4 Fire Urban Plus,Sedan
Honda,Civic,1.6i VTEC Eco Executive,Sedan
Hyundai,Accent Blue,1.6 CRDI Mode,Sedan
Citroen,C3,1.4 HDi X Furio,Hatchback/5
Fiat,Egea,1.6 Multijet Urban Plus,Sedan
Ford,Focus,1.6 TDCi Comfort,Hatchback/5
Fiat,Punto,1.3 Multijet Lounge,Hatchback/5
Honda,Civic,1.6i DTEC Elegance,Sedan
Tofaş,Şahin,1.6 ie,Sedan
Volkswagen,Golf,1.6 FSi Comfortline,Hatchback/5
Volkswagen,Jetta,1.4 TSi Comfortline,Sedan
Volkswagen,Passat Variant,1.5 e-TSI Impression,Station wagon
Opel,Astra,1.3 CDTI Edition,Sedan
Audi,A4,A4 Sedan 45 TFSI Quattro Design,Sedan
Chrysler,300 C,2.7,Sedan
Citroen,C-Elysée,1.6 HDi Confort,Sedan
Citroen,C3,1.2 PureTech Live,Hatchback/5
Audi,A4,A4 Sedan 1.6,Sedan
Citroen,C4 Picasso,1.6 THP Exclusive,MPV
Fiat,Linea,1.3 Multijet Urban,Sedan
Ford,Fusion,1.6 Lux,Hatchback/5
Hyundai,Ioniq 6,6,Sedan
Peugeot,206+,1.4 HDi Comfort,Hatchback/5
Renault,Megane,1.5 dCi Privilege,Sedan
Renault,Megane,1.5 dCi Icon,Hatchback/5
Skoda,Octavia,1.6 TDI Optimal,Hatchback/5
Toyota,Avensis,1.6 Comfort,Sedan
Volkswagen,Bora,1.6 Comfortline,Sedan
Audi,A4,A4 Sedan 2.0 TDI Quattro Dynamic,Sedan
BMW,3 Serisi,320d Sport Line,Sedan
Hyundai,Accent Era,1.5 CRDi-VGT Team,Sedan
Hyundai,i10,1.2 MPI Elite,Hatchback/5
Hyundai,i20,1.4 MPI Style,Hatchback/5
