marka,seri,model,kasa_tipi
BMW,4 Serisi,418i Gran Coupe M Sport,Sedan
Seat,Leon,1.5 EcoTSI Xcellence,Hatchback/5
BMW,4 Serisi,418i Sport Plus,Coupe
Geely,Emgrand,1.5 GSL Premium,Sedan
Peugeot,508,1.6 THP Active,Sedan
Peugeot,207,1.6 HDi Trendy,Station wagon
BMW,5 Serisi,520d Executive Luxury Line,Sedan
Peugeot,307,1.6 HDi Comfort,Station wagon
Daihatsu,Sirion,1.0,Hatchback/5
Dodge,Magnum,6.1,Station wagon
Dacia,Solenza,1.4 Rapsodie,Sedan
Seat,Leon,1.6 TDI Sport Tourer Style,Station wagon
Honda,Accord,2.0 Sport,Sedan
Renault,Scenic,1.5 dCi Icon,MPV
Mercedes - Benz,CLS,350 CDI AMG,Coupe
Peugeot,207,1.4 Comfort,Hatchback/5
BMW,5 Serisi,520d Prestige,Sedan
BMW,5 Serisi,520d Sport Line,Sedan
Renault,Clio,1.5 dCi Alize,Hatchback/3
Citroen,C4,1.2 PureTech Exclusive,Hatchback/5
Citroen,C4,2.0 VTS,Coupe
Hyundai,i20,1.4 MPI Elite,Sedan
Hyundai,i20 Troy,1.4 CRDi Start,Hatchback/5
Citroen,C3,1.6 HDi Exclusive,Hatchback/5
Peugeot,508,1.6 e-HDi Allure,Sedan
Peugeot,208,1.0 VTi Access,Hatchback/5
Peugeot,107,1.0 Trendy,Hatchback/5
Seat,Toledo,1.6 Signo Plus,Sedan
Skoda,Fabia,1.4 Comfort,Hatchback/5
Seat,Toledo,1.6 Reference,Hatchback/5
Skoda,Fabia,1.6 TDI Scout,Station wagon
Skoda,Fabia,1.2 Optimal,Hatchback/5
Peugeot,208,1.2 PureTech Access,Hatchback/5
Tofaş,Şahin,1.4 ie,Sedan
Opel,Astra,1.4 T Sport Elegance,Sedan
Renault,Clio,1.0 TCe RS Line,Hatchback/5
Opel,Astra,1.6 GL,Sedan
Opel,Astra,1.6 Comfort,Sedan
Ford,Focus,1.6 TDCi Titanium X,Sedan
BMW,5 Serisi,525d xDrive M Sport,Station wagon
Chevrolet,Lacetti,1.6 CDX,Sedan
Skoda,SuperB,1.5 TSI Comfort Plus,Sedan
Seat,Altea,1.6 Reference,MPV
Hyundai,Accent,1.5 GLS,Hatchback/3
Renault,Twingo,1.5,Hatchback/5
Renault,Symbol,1.5 dCi Expression Plus,Sedan
Fiat,Tipo,1.6 ie,Hatchback/5
Citroen,C4,1.6 THP Exclusive,Hatchback/5
Dacia,Logan,1.5 dCi MCV Black Line,Station wagon
Porsche,Panamera,4S,Hatchback/5
Kia,Rio,1.4 CVVT Concept,Hatchback/5
Kia,Rio,1.4 CVVT Cool,Station wagon
Skoda,Felicia,1.3 LX,Hatchback/5
Renault,Talisman,1.3 Tce Icon,Sedan
Renault,R 11,GTD,Hatchback/5
Peugeot,208,1.6 BlueHDi Active,Hatchback/5
Hyundai,Accent Era,1.6 Team,Sedan
BMW,5 Serisi,520i M Sport,Station wagon
Kia,Rio,1.5 Comfort,Sedan
Porsche,Boxster,Bilinmiyor,Roadster
Seat,Ibiza,1.6 TDI CR Style,Hatchback/5
Hyundai,Elantra,1.6 D-CVVT Mode,Sedan
Citroen,C4,1.4 VTi Easy,Hatchback/5
Fiat,Egea,1.4 Fire Lounge Plus,Sedan
Fiat,Bravo,1.6 Mjet Active,Hatchback/5
Seat,Leon,1.5 eTSI Xcellence,Hatchback/5
Seat,Leon,1.0 EcoTSI Ecomotive Style,Hatchback/5
Volkswagen,Passat,1.6 TDi Comfortline,Sedan
Skoda,Octavia,1.6 FSI Elegance,Station wagon
Hyundai,i10,1.2 D-CVVT Go Special Edition,Hatchback/5
Renault,Megane,2.0 RXT,Sedan
Hyundai,Elantra,1.6 D-CVVT Style Design Pack,Sedan
Hyundai,Excel,1.5 GLS,Sedan
Hyundai,Getz,1.5 CRDi GL Cool,Hatchback/3
Honda,Civic,1.6i DTEC Sport,Hatchback/5
Hyundai,Elantra,1.6 MPI Elite Plus,Sedan
Fiat,Bravo,1.4 T-Jet Dynamic,Hatchback/5
Seat,Cordoba,1.4 TDI S-Rider,Sedan
BMW,7 Serisi,730d xDrive M Sport,Sedan
Seat,Ibiza,1.2 TSI Reference,Hatchback/5
Renault,Clio,1.6 RTE,Hatchback/3
Seat,Leon,1.6 Reference,Hatchback/5
Citroen,C4 Picasso,1.6 HDi Exclusive,MPV
Suzuki,Vitara,1.4 Boosterjet GLX,SUV
Renault,Clio,1.5 BlueDCI Icon,Hatchback/5
Skoda,Octavia,1.6 TDI Elegance CR,Station wagon
Seat,Leon,1.0 eTSI Style,Hatchback/5
BMW,5 Serisi,520i Business,Sedan
Renault,Clio,1.4 Privilege,Hatchback/5
Seat,Leon,1.6 Signo,Hatchback/5
Nissan,Primera,1.6 Tekna,Sedan
Jaguar,X-Type,2.0 D Executive,Sedan
Renault,Megane,1.4,-
Volvo,S80,1.6 D Premium,Sedan
Kia,Cerato,1.6 CRDi Prestige,Sedan
Kia,Cerato,1.6 MPI Prestige,Sedan
Kia,Cerato,1.6 CRDi Comfort,Sedan
Kia,Rio,1.3 Trend,Sedan
Seat,Ibiza,1.4 Sport Tourer Style,Station wagon
Kia,Rio,1.25 CVVT Cool,Hatchback/5
Skoda,Fabia,1.4 TDI Comfort,Hatchback/5
Seat,Ibiza,1.2 Reference,Hatchback/5
Skoda,Fabia,1.2 Ambiente Dynamic,Hatchback/5
Mazda,Premacy,2.0 DITD,MPV
Renault,Symbol,1.5 dCi BlueDCI Joy,Sedan
Lada,Vega,1.5,Hatchback/5
Renault,Megane,1.6 Dynamique,Station wagon
Lancia,Delta,1.6 MJet,Station wagon
Citroen,C4 X,1.5 BlueHDi Shine Bold,SUV
Maserati,GranTurismo,4.2,Coupe
Mini,Cooper,1.6,Hatchback/3
Skoda,Fabia,1.4 Ambiente Dynamic,Hatchback/5
Renault,Laguna,1.9 dCi Privilege,Hatchback/5
Skoda,Favorit,135 L,Hatchback/5
Mini,Cooper Clubman,1.6 S,Station wagon
Mini,Cooper Clubman,1.5,Station wagon
Skoda,Felicia,1.3 GLXi,Hatchback/5
Citroen,C5,2.0 HDi SX,Sedan
Fiat,Tempra,2.0 ie,Sedan
Mitsubishi,Space Star,1.3,MPV
Skoda,Fabia,1.2 Classic,Hatchback/5
Skoda,SuperB,1.5 TSI Laurin&Klement Crystal,Sedan
Seat,Leon,1.6 Stylance,Hatchback/5
Hyundai,i20 Troy,1.4 CVVT Prime,Hatchback/5
Seat,Leon,1.4 EcoTSI Xcellence,Hatchback/5
Seat,Leon,1.4 TSI Stylance,Hatchback/5
Hyundai,i30,1.6 CVVT Select,Hatchback/5
Skoda,Rapid,1.2 Ambition,Sedan
Hyundai,i30,1.6 CRDi Style Design Pack,Hatchback/5
Hyundai,i30,1.6 CRDi Prime,Hatchback/5
Hyundai,i30,1.6 CRDi Select,Hatchback/5
Skoda,Roomster,1.4 TDI Style,MPV
Hyundai,ix20,1.6 Prime,MPV
Skoda,Rapid,1.4 TDI Spaceback Style,Hatchback/5
Porsche,Taycan,Bilinmiyor,Coupe
Seat,Cordoba,1.6 Signo,Sedan
Renault,Megane,1.5 dCi Dynamique,Station wagon
BMW,Z Serisi,Z4 2.0i sDrive,Cabrio
Skoda,Octavia,1.6 TDI Ambiente,Hatchback/5
Seat,Leon,1.0 EcoTSI Ecomotive Style Visio,Hatchback/5
Suzuki,SX4,GL,Hatchback/5
Ford,Fiesta,1.4 Trend,Hatchback/5
Skoda,Octavia,1.4 TSI Ambition Optimal,Hatchback/5
Ford,Fiesta,1.4 Comfort,Hatchback/3
Skoda,Octavia,1.4 TSI Sport,Hatchback/5
BMW,5 Serisi,528i xDrive Comfort,Sedan
BMW,5 Serisi,530i xDrive Executive M Sport,Coupe
Renault,R 11,Flash,Hatchback/5
Chrysler,Stratus,2.0 LE,Sedan
Skoda,Octavia,1.6 TDI Active,Hatchback/5
Skoda,Octavia,1.2 TSI Optimal,Hatchback/5
Nissan,Sunny,1.6 EX,Sedan
Skoda,Rapid,1.2 TSI Spaceback Style,Hatchback/5
Skoda,Rapid,1.4 TDI GreenTec Style,Sedan
Suzuki,Baleno,1.2,Hatchback/5
Suzuki,Swift,1.2 Hibrit GL,Hatchback/5
Citroen,C1,1.0 Confort,Hatchback/5
Skoda,SuperB,1.5 TSI Premium,Station wagon
Toyota,Corolla,1.6 GLi,Sedan
Fiat,Punto,EVO 1.4 Multiair Dynamic,Hatchback/5
Toyota,Corolla,1.6 Linea Sol,Hatchback/5
DS Automobiles,DS4,1.6 e-HDi D-Sport,Hatchback/5
Seat,Ibiza,1.0 EcoTSI FR,Coupe
Chrysler,Concorde,3.5,Sedan
Renault,Modus,1.5 dCi Authentique,MPV
Skoda,SuperB,2.0 TDI Laurin&Klement,Sedan
Suzuki,Swift,1.2 GL,Hatchback/5
Skoda,Fabia,1.0 TSI Elite,Hatchback/5
Skoda,Fabia,1.2 Ambiente,Hatchback/5
Skoda,SuperB,1.9 TDI Elegance,Sedan
Citroen,C5,2.2 HDi SX,Sedan
Opel,Astra,1.4 T Business,Sedan
Fiat,Linea,1.4 Turbo Emotion Plus,Sedan
Seat,Ibiza,1.4 Stella,Hatchback/5
Renault,Clio,1.6 Dynamique,Hatchback/5
Hyundai,Accent Blue,1.4 D-CVVT Mode,Sedan
Suzuki,Grand Vitara,1.6 JX-A,SUV
Citroen,Xsara,1.6 SX,Coupe
Citroen,Xsara,1.6 SX,Hatchback/5
Seat,Leon,1.6 TDI Copa Plus,Hatchback/5
BMW,5 Serisi,525 xDrive Touring Comfort,Station wagon
BMW,5 Serisi,525d Standart,Sedan
Opel,Corsa,1.3 CDTI Silverline,Hatchback/3
Tesla,Model Y,Long Range AWD,Sedan
Tesla,Model Y,Standart Range,Bilinmiyor
Renault,Megane,1.6 Grandtour Dynamique,Hatchback/5
Suzuki,Swift,1.2 Hibrit GL Techno,Hatchback/5
Subaru,Impreza,1.5 Elegance,Hatchback/5
Citroen,C3,1.4 Comfort,Hatchback/5
Tofaş,Kartal,1.6 ie,Station wagon
Opel,Insignia,2.0 CDTI Edition Elegance,Sedan
Fiat,Linea,1.3 Multijet Mood,Sedan
Tesla,Model Y,Long Range AWD,SUV
Volvo,XC90,2.0 T8 Recharge Plus Dark,SUV
Renault,Megane,1.6 Privilege,Hatchback/5
Toyota,Corolla,1.6 Sol Plus,Hatchback/5
Fiat,Marea,2.0 HLX,Sedan
Opel,Insignia,1.6 CDTI Grand Sport Elite,Hatchback/5
Tofaş,Kartal,SLX ie,Station wagon
Renault,Fluence,1.6 Privilege,Sedan
Skoda,Yeti,1.6 TDI Active Greenline,SUV
Skoda,Forman,135 L,Station wagon
Opel,Corsa,1.2 Twinport Enjoy 111,Hatchback/5
Opel,Corsa,1.2 Twinport Enjoy,Hatchback/3
Opel,Vectra,1.6 Essentia,Sedan
Opel,Zafira,1.6 Enjoy,MPV
Skoda,Octavia,1.4 TSI Elegance,Hatchback/5
Opel,Meriva,1.3 CDTI Essentia,MPV
Seat,Toledo,1.6 TDI Style,Hatchback/5
Renault,Megane,1.5 dCi Play,Hatchback/5
Toyota,Avensis,1.6 Advance,Sedan
Toyota,Avensis,1.6 D-4D Advance,Sedan
Ford,Focus,1.0 GTDi Trend X,Hatchback/5
Opel,Insignia,1.4 T Edition,Sedan
BMW,5 Serisi,525d xDrive Executive Luxury Line,Sedan
BMW,5 Serisi,525d xDrive xDrive,Station wagon
Opel,Insignia,1.5 T Grand Sport Excellence,Hatchback/5
Renault,Fluence,1.6 Joy,Sedan
Renault,Clio,1.2 SportTourer Icon,Station wagon
Opel,Insignia,1.6 CDTI Exclusive Grand Sport,Hatchback/5
Skoda,Octavia,1.6 Tour,Hatchback/5
Opel,Insignia,1.6 CDTI Excellence,Hatchback/5
Skoda,Octavia,1.9 TDI Ambiente,Hatchback/5
Dacia,Jogger,1.0 TCe Expression,Station wagon
Fiat,Idea,1.3 Multijet Dynamic,MPV
Renault,Clio,1.2 TCE Expression,Hatchback/5
Audi,A1,1.4 TFSI Attraction,Hatchback/5
Toyota,Corolla,1.4 D-4D Plusline,Hatchback/5
Fiat,Panda,1.3 Mjet S&S 4x4 Cross,Hatchback/5
Skoda,Rapid,1.4 TDI GreenTec Style,Hatchback/5
BMW,5 Serisi,530d Comfort,Sedan
Seat,Ibiza,1.4 Signo,Hatchback/5
Toyota,Corolla,1.8 Hybrid Flame,Sedan
BMW,5 Serisi,530d Exclusive,Sedan
Skoda,Rapid,1.6 TDI Spaceback Style,Hatchback/5
Toyota,Corolla,1.8 Hybrid Dream,Hatchback/5
Fiat,Marea,1.6 SX,Station wagon
Volkswagen,Arteon,1.5 TSI Elegance,Hatchback/5
Skoda,Fabia,1.4 TDI Ambiente,Hatchback/5
Toyota,Yaris,1.33 Terra,Hatchback/5
Renault,Megane E-Tech,Iconic,Hatchback/5
Rover,414,Si,Sedan
Fiat,Palio,1.3 Multijet Active,Hatchback/3
Toyota,Avensis,1.6 D-4D Premium Plus,Sedan
Toyota,C-HR,1.8 Hybrid Flame,SUV
Toyota,Avensis,1.6 D-4D Premium,Station wagon
BMW,5 Serisi,530xd Gran Turismo Premium,Hatchback/5
Opel,Insignia,1.6 CDTI Enjoy,Hatchback/5
BMW,7 Serisi,730d Long Exclusive,Sedan
BMW,6 Serisi,645Ci,Coupe
BMW,5 Serisi,535d xDrive M Sport,Sedan
Volkswagen,Golf,1.0 TSi Highline,Hatchback/5
Fiat,Palio,1.3 Multijet SL,Hatchback/3
Dacia,Logan,1.6 Prestige,Sedan
Fiat,Palio,1.4 EL Weekend,Hatchback/5
Fiat,Linea,1.6 Multijet Easy,Sedan
Chevrolet,Lacetti,1.4 SE,Sedan
Hyundai,Accent Era,1.5 CRDi Style,Sedan
Audi,A6,A6 Sedan 2.0 TDI,Station wagon
BMW,7 Serisi,750d xDrive Long Standart,Sedan
BMW,7 Serisi,740d xDrive M Sport,Sedan
Toyota,Yaris,1.4 D-4D Fun,Hatchback/5
Fiat,Marea,1.6 ELX,Station wagon
Volkswagen,Golf,1.6 TDi Highline,Hatchback/3
Fiat,Bravo,1.6 Mjet Dynamic,Hatchback/5
Fiat,Topolino,Bilinmiyor,Hatchback/3
Audi,A3,A3 Sedan 1.4 TFSI Ambiante,Sedan
Volkswagen,ID.7,Pro S,Sedan
Ford,B-Max,1.6 Trend,MPV
BMW,i Serisi,i7 xDrive60 M Excellence,Sedan
Volkswagen,Polo,1.6,Hatchback/5
Audi,A6,A6 Sedan 2.0 TFSI,Sedan
Ford,Focus,1.6 Ti-VCT Trend,Hatchback/5
Suzuki,Splash,1.2 GLS,Hatchback/5
BMW,3 Serisi,316Ci,Coupe
BMW,i Serisi,i7 xDrive60 Pure Excellence,Sedan
Renault,Megane,1.6 Touch,Sedan
Dacia,Sandero,1.0 Stepway,Hatchback/5
Fiat,Palio,1.4 HL,Hatchback/5
BMW,5 Serisi,525i Standart,Sedan
BMW,M Serisi,M3,Coupe
Chevrolet,Cruze,2.0 D LT,Hatchback/5
Seat,Ibiza,1.4 Elegance,Hatchback/5
Renault,Clio,1.3 TCe RS Line,Hatchback/5
Citroen,C3,1.6 BlueHDI Live,Hatchback/5
Volkswagen,Jetta,1.6 TDi Primeline,Sedan
Citroen,C3,1.2 PureTech Shine Business,Hatchback/5
Fiat,Punto,Grande 1.4 T-Jet Dynamic,Hatchback/3
Hyundai,Accent Era,1.5 CRDi-VGT Start,Sedan
Volkswagen,Jetta,1.6 TDi Exclusive,Sedan
Fiat,Punto,Grande 1.4 Fire Fun,Hatchback/5
Fiat,Panda,1.2 Climbing 4x4,Hatchback/5
Dacia,Jogger,1.0 TCe Seri Limite Extreme,MPV
Fiat,Punto,Grande 1.4 Starjet Dynamic,Hatchback/5
Suzuki,Swift,1.2 GLX,Hatchback/5
Cupra,Leon,1.5 eTSI VZ Line,Hatchback/5
Fiat,Punto,1.4 Urban S&S,Hatchback/5
BMW,7 Serisi,740d xDrive Standart,Sedan
BMW,7 Serisi,740i,Sedan
Dacia,Sandero,0.9 TCe Stepway Easy-R,Hatchback/3
Volkswagen,Polo,1.6 Comfortline Classic,Sedan
Volkswagen,Polo,1.0 Impression,Hatchback/5
Ford,Escort,1.6 Ghia,Sedan
Renault,Clio,1.5 dCi Executive,Hatchback/5
Volvo,V40 Cross Country,1.6 D Advance,Hatchback/5
Ford,Fiesta,1.0 EcoBoost Hybrid Titanium,Hatchback/5
BMW,5 Serisi,525i xDrive Standart,Sedan
BMW,5 Serisi,530i Executive M Sport,Sedan
Skoda,Octavia,1.6 Ambiente,Hatchback/5
Fiat,Stilo,1.4 Active,Hatchback/5
Ford,Escort,1.6 CL,Hatchback/5
BMW,7 Serisi,740d xDrive Long Pure Excellence,Sedan
BMW,7 Serisi,730d Long Individual Edition,Sedan
Renault,Clio,1.5 dCi Tom Tom Edition,Hatchback/5
Daihatsu,Cuore,1.0 Low Grade,Hatchback/5
Daewoo,Nubira,2.0 CDX,Hatchback/5
Volkswagen,Passat Variant,1.6 FSi Comfortline,Station wagon
Ford,C-Max,1.5 TDCi Trend,MPV
Ford,C-Max,1.6 TDCi Ghia,Hatchback/3
BMW,i Serisi,i5 eDrive 40 eDrive40,Sedan
Ford,C-Max,1.6 TDCi Titanium Grand,MPV
Ford,Fiesta,1.1 Trend X,Hatchback/5
Audi,A3,A3 Sportback 35 TFSI S-Tronic,Hatchback/5
Volkswagen,Bora,1.6 Primeline,Sedan
Mercedes - Benz,CLS,350 CDI BlueEFFICIENCY,Coupe
Mercedes - Benz,E,300 D Exclusive,Sedan
Mercedes - Benz,E,320 Avantgarde,Sedan
Renault,Megane E-Tech,Techno,SUV
Mercedes - Benz,SLK,200 Kompressor,Roadster
Fiat,Palio,1.3 Multijet Premio Sole,Hatchback/5
Opel,Astra,1.6 CDTI Black Edition,Hatchback/5
Renault,Clio,1.4,Sedan
BMW,Z Serisi,Z4 3.0i sDrive,Roadster
Toyota,Yaris,1.4 D-4D Sol,Hatchback/5
Citroen,C3 Picasso,1.6 HDi SX,Hatchback/5
Volkswagen,VW CC,1.4 TSi,Sedan
BMW,7 Serisi,730d xDrive Standart,Sedan
Dacia,Sandero,0.9 TCe Stepway Style,Hatchback/5
Fiat,Punto,Grande 1.3 Multijet Dynamic,Hatchback/3
Citroen,Xsara,1.4 HDi,Station wagon
Dacia,Sandero,1.4 Black Line,Hatchback/5
Ford,Kuga,1.5 EcoBlue Titanium,SUV
BMW,4 Serisi,420d xDrive Gran Coupe Luxury Line,Coupe
Audi,A6,A6 Avant 40 TDI Quattro Advanced,Station wagon
Ford,Focus,1.5 EcoBlue Active,Hatchback/5
Volkswagen,Passat,2.0 TDi Business,Sedan
Volkswagen,Bora,1.9 TDi Comfortline,Sedan
Honda,Civic,1.6 LS,Hatchback/5
Volkswagen,Passat,1.6 TDi BlueMotion Business,Sedan
Ford,Escort,1.6 Ghia,Hatchback/5
Volvo,S40,1.6 D,Sedan
Fiat,Panda,1.2 Active,Hatchback/5
Skoda,Octavia,1.2 TSI Ambition,Hatchback/5
Volkswagen,Polo,1.4 Trendline,Hatchback/3
Toyota,Yaris,1.0 Vision,Hatchback/5
Ford,Focus,1.6 Ti-VCT Collection,Hatchback/5
BMW,X3,20d xDrive 2.0d xDrive,SUV
BMW,X5,30d xDrive,SUV
Toyota,Yaris,1.3 Terra,Hatchback/5
Volkswagen,Passat,1.9 TDi Comfortline,Sedan
Ford,Escort,1.6 CLX,-
Volkswagen,VW CC,1.8 TFSi,Coupe
Ford,Fiesta,1.4 TDCi Sport,Hatchback/3
Volkswagen,Passat Variant,1.6 TDi Comfortline,Station wagon
Rover,414,Si,Hatchback/5
Volkswagen,Polo,1.0 TSi R-Line,Hatchback/5
Seat,Cordoba,1.4 TDI Elegance,Sedan
Fiat,Egea,1.4 Fire Urban,Coupe
Seat,Cordoba,1.4 Signo,Sedan
Ford,Escort,1.6 Classic,Sedan
Volkswagen,Polo,1.2 TDi Trendline,Station wagon
MG,ZS,1.0 T-GDI Luxury,SUV
Volvo,V40 Cross Country,1.6 D Premium,Hatchback/5
Skoda,Fabia,1.4 Ambiente,Hatchback/5
Seat,Leon,1.2 TSI Reference,Hatchback/5
Volvo,V60,1.6 D,Station wagon
Renault,Megane,1.0 TCe Joy,Sedan
Tata,Marina,1.4 TDI Comfort,Station wagon
Skoda,Roomster,1.2,MPV
Ford,Mondeo,1.6 Titanium,Hatchback/5
Ford,Mustang Mach-E,Extended Range,SUV
Volkswagen,Passat,1.6 Trendline,Station wagon
Audi,A3,A3 Hatchback 1.9 TDI Attraction,Hatchback/5
Volvo,V40,1.5 T3 R-Design,Hatchback/5
Ford,Focus,1.6 TDCi Comfort,Sedan
Jaecoo,J7,1.6 Revive,SUV
Ford,Fiesta,1.6 TDCi Titanium,Hatchback/5
Volkswagen,Golf,1.2 TSi Allstar,Hatchback/5
Seat,Leon,1.5 TSI FR,Hatchback/5
Alfa Romeo,Giulietta,1.6 JTD Sprint,Hatchback/5
Volkswagen,VW CC,2.0 TDi 2.0 TDI,Coupe
Ford,Ka,1.3 Collection,Hatchback/3
Volkswagen,Passat Variant,1.4 TSi BlueMotion Comfortline,Station wagon
Audi,Q8 E-Tron,S Line,SUV
Seat,Altea,1.6 TDI I-Tech XL,MPV
Smart,ForTwo,0.6,Coupe
BMW,iX1,M Sport,SUV
Citroen,C4,1.6 VTR,Coupe
Audi,A3,A3 Sportback 1.8 Ambiente,Hatchback/3
BMW,X3,20d xDrive Premium,SUV
Volvo,V40,1.5 T3 Inscription,Hatchback/5
Audi,A3,A3 Sportback 1.6 Ambiente,Sedan
Seat,Ibiza,1.0 EcoTSI Sport Coupe FR,Coupe
Audi,E-Tron,55 Quattro,SUV
Opel,Insignia,1.6 CDTI Design,Hatchback/5
Volvo,S60,2.0 B5 Inscription Plus,Sedan
Fiat,Palio,1.2 SL,Hatchback/3
Volvo,S60,1.6 T4,Sedan
Volvo,S60,2.0 B5 Plus Dark,Sedan
Citroen,C4,1.6 HDi VTRPK,Hatchback/5
BMW,X1,18i sDrive X Line,SUV
BMW,X1,20i sDrive X Line,SUV
BMW,X1,16i sDrive,SUV
Ford,Mondeo,1.5 Ecoboost Titanium,Station wagon
Fiat,Palio,1.6 HL,Station wagon
Renault,Megane,1.5 dCi Authentique,Station wagon
Honda,Accord,2.2 CTDi,Sedan
Suzuki,Swift,1.3 MT 4X2,Hatchback/5
Renault,Megane,1.5 dCi Extreme,Hatchback/5
Ford,Fusion,1.4 TDCi Comfort ASM,Hatchback/5
Ford,Focus,1.8 TDCi Comfort,Sedan
Audi,A3,A3 Sportback 1.6 TDI Sport Line,Sedan
Daewoo,Lanos,1.6 SX,Sedan
Volvo,S80,2.0 D Premium,Sedan
Toyota,Corolla,1.6 XL,Sedan
Toyota,Yaris,1.4 D-4D Terra,Hatchback/5
Toyota,Corolla,1.6 Plusline,Sedan
Toyota,Corolla,1.6 Terra,Hatchback/5
Toyota,Corolla,1.6 Linea Terra,Hatchback/5
Toyota,Corolla,1.6 Elegant,Sedan
Chery,Tiggo 8 Pro,1.6 TGDI Avantgarde,SUV
Audi,A4,A4 Avant 2.0 TDI Sport,Station wagon
Renault,R 11,Rainbow,Hatchback/5
Daihatsu,Copen,1.3,Roadster
Ford,Mondeo,1.5 Titanium,Hatchback/5
BMW,3 Serisi,320d xDrive Premium,Sedan
Ford,Mondeo,2.0 TDCi Titanium,Hatchback/5
Daihatsu,Sirion,1.3,Hatchback/5
Tofaş,Doğan,1.6 ie,Sedan
Ford,Fusion,1.6 Comfort,Hatchback/5
Renault,Modus,1.4 Authentique,MPV
Ford,Fusion,1.4 TDCi Collection,Hatchback/5
Renault,Scenic,1.5 dCi Dynamique,MPV
Renault,Scenic,1.5 dCi Exception,MPV
Toyota,Corolla,1.4 D-4D Sol,Hatchback/5
Toyota,Yaris,1.0 Terra,Hatchback/3
Hyundai,i30,1.6 CRDi Style,Station wagon
Dacia,Logan,1.2 Ambiance,Sedan
Renault,Megane,1.6 Coupe RXE,Coupe
Renault,Megane,1.6 dCi Icon,Sedan
Kia,Rio,1.4 EX Comfort,Hatchback/5
Ford,Scorpio,2.0 Ghia,Sedan
Chevrolet,Spark,1.2 LT,Hatchback/5
Citroen,AMİ,My Ami Peps,Coupe
Renault,Symbol,1.5 BlueDCI Joy,Sedan
Suzuki,Swift,1.2 Hibrit Life,Hatchback/5
Audi,A5,A5 Cabrio 2.0 TFSI,Sedan
Citroen,C3 Aircross,1.5 BlueHDI Feel,SUV
Citroen,C3 Aircross,1.2 Hybrid Max,SUV
Citroen,C3 Aircross,1.5 BlueHDI Feel Bold,SUV
Cupra,Formentor,1.5 e-TSI Mhev Supreme,SUV
Ford,Taunus,2.0 GTS,Sedan
Citroen,C4 Cactus,1.6 e-HDi Feel,Crossover
Honda,Civic,1.6i DTEC Comfort,Hatchback/5
Honda,Accord,1.8 LS,Hatchback/5
Toyota,Auris,1.4 D-4D Advance,Hatchback/5
Fiat,Palio,1.6 HL,Hatchback/3
BMW,1 Serisi,118i,Hatchback/5
Opel,Astra,1.4 T Excellence,Station wagon
Opel,Meriva,1.3 CDTI EcoFlex Cosmo,MPV
Fiat,Tipo,1.6 SX,Hatchback/3
Citroen,C5 Aircross,1.5 BlueHDI Feel Bold,SUV
Jaguar,F-Type,3.0 S,Coupe
Tofaş,Şahin,Şahin 5 Vites,Sedan
Renault,Clio,1.2 Grandtour Executive,Station wagon
Peugeot,306,1.6 Griffe,Hatchback/5
Audi,A7,45 TFSI,Coupe
TOGG,T10F,V2,Hatchback/5
Kia,Sephia,1.5 GTX,Sedan
BMW,2 Serisi,220d Standart,Coupe
Kia,Ceed,1.6 Motion,Hatchback/5
Toyota,Corolla,1.6 GL,Hatchback/5
Toyota,Corolla,1.6 Flame X Pack,Sedan
Renault,R 19,1.6 Europa RL,Hatchback/5
Honda,Accord,1.8 LS,Sedan
Toyota,Verso,1.6 Premium,Hatchback/5
Renault,Megane,1.5 dCi Dynamique,Coupe
Kia,Rio,1.4 CRDi Concept Plus,Hatchback/5
Toyota,Corolla,1.6 Sport VVT-i,Hatchback/5
Skoda,Octavia,1.6 TDI Style,Station wagon
Kia,Ceed,1.6 CRDi Premium SW,Station wagon
Daewoo,Tico,0.8 SX,Hatchback/5
Renault,R 19,1.4 RT,Hatchback/5
Toyota,Auris,1.4 D-4D Life,Hatchback/5
Toyota,Corolla,1.6 Terra Special,Sedan
Toyota,Auris,1.4 D-4D Active Skypack,Hatchback/5
Opel,Corsa,1.2 T Innovation,Hatchback/5
Opel,Astra,1.7 D GLS,Sedan
Opel,Vectra,2.0 GT,Sedan
Fiat,Albea,1.2 HL,Sedan
Toyota,Yaris,1.33 Style Skypack,Hatchback/5
Honda,Integra,1.8,Sedan
Honda,Jazz,1.5 Hybrid Elegance,Hatchback/5
Toyota,Corolla,1.6 XL,Hatchback/5
BMW,3 Serisi,320d Edition M Sport,Sedan
Fiat,Palio,1.2 S Weekend,Station wagon
Opel,Astra,1.7 CDTI Classic,Sedan
Mitsubishi,Space Star,1.2 MIVEC,Hatchback/5
Hyundai,Accent,1.5 GLX,Sedan
Volvo,XC70,2.4 D5 Premium Edition,SUV
Volkswagen,Scirocco,1.4 TSi Allstar,Coupe
Opel,Vectra,1.6 Design Edition,Sedan
Kia,Ceed,1.4 Cool,Hatchback/5
BMW,3 Serisi,320d xDrive M Sport,Coupe
Audi,TT,2.0 TFSI,Roadster
Opel,Grandland X,1.5 D EcoTEC Enjoy,SUV
Chevrolet,Lacetti,1.6 SE,Hatchback/5
Fiat,Egea,1.0 Firefly Lounge,Sedan
Fiat,Panda,0.9 TwinAir Pop,Hatchback/5
Mini,Cooper S,1.6,Hatchback/3
BMW,3 Serisi,325i Standart,Sedan
